concurrency,run_label,completed_requests,failed_requests,total_token_throughput,ttft_mean_ms,ttft_median_ms,ttft_p99_ms
1,run1,10,0,12672.48,4734.46,4516.22,6510.25
1,run2,10,0,166744.75,359.63,284.19,1041.11
5,run1,10,0,13184.92,18317.44,20721.68,23745.35
5,run2,10,0,198098.8,1421.59,1434.91,1961.92
10,run1,10,0,13136.89,26207.77,26060.12,45215.61
10,run2,10,0,195337.68,2844.77,3057.17,3067.22
20,run1,20,0,13644.07,47275.52,47295.05,87080.55
20,run2,20,0,227395.53,5013.98,5255.0,5274.03
30,run1,30,0,13800.82,68516.79,68411.72,129021.89
30,run2,30,0,130008.08,12894.44,13242.47,13815.33
35,run1,35,0,13792.95,79017.32,78751.1,150376.6
35,run2,35,0,134834.45,13567.33,13344.94,15566.32
40,run1,39,1,13534.43,88782.95,87617.46,171074.58
40,run2,40,0,127611.89,15335.55,13895.18,18778.44
50,run1,50,0,13930.36,111010.43,111098.99,212842.12
50,run2,49,1,131209.87,17847.29,14236.83,22359.25
60,run1,58,2,13485.17,131293.89,132118.44,255367.27
60,run2,58,2,138474.23,19377.05,22474.44,25074.99
70,run1,70,0,13980.42,153569.67,153533.32,297148.8
70,run2,69,1,141519.73,21257.06,22347.45,29247.9
150,run1,100,0,14020.82,217271.13,217162.15,423318.67
150,run2,98,2,160948.07,25655.26,28365.92,36401.63
200,run1,149,1,13935.51,323506.07,321271.96,634481.57
200,run2,149,1,173756.04,33353.0,36412.43,51201.46
250,run1,198,2,13909.46,427890.44,425377.75,845104.14
250,run2,199,1,177361.96,41586.8,44438.39,67074.86
